 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Pt2 O4
 Reduced formula:  PtO2
 space group: (Pn-3m), space number:  (224)
 abc:  4.483783   4.483783   4.483783
 angles: 90.000000  90.000000  90.000000
 sites: 6
 mp-20119
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.262 Rnm= 1.415 L3 shell
 Pot 1 Z= 8 Rmt= 0.968 Rnm= 1.088
 Pot 2 Z=78 Rmt= 1.267 Rnm= 1.427
 Gam_ch=5.171E+00 H-L exch
 Mu= 5.496E+00 kf=2.289E+00 Vint=-1.447E+01 Rs_int= 1.584
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   2  12.000   3.7178    2.3109    5.49615 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
  5.200  1.0222E+01  3.7868E-01 -2.8551E+01  1.165E+00  5.1563E+00  5.5929E+00
  5.400  1.0142E+01  3.5083E-01 -2.8744E+01  1.153E+00  5.3175E+00  5.7717E+00
  5.600  1.0061E+01  3.2515E-01 -2.8926E+01  1.140E+00  5.4873E+00  5.9523E+00
  5.800  9.9808E+00  3.0155E-01 -2.9097E+01  1.127E+00  5.6650E+00  6.1345E+00
  6.000  9.9004E+00  2.7995E-01 -2.9259E+01  1.115E+00  5.8499E+00  6.3182E+00
  6.500  9.7038E+00  2.3338E-01 -2.9626E+01  1.086E+00  6.3393E+00  6.7828E+00
  7.000  9.5109E+00  1.9592E-01 -2.9953E+01  1.060E+00  6.8627E+00  7.2537E+00
  7.500  9.3150E+00  1.6683E-01 -3.0255E+01  1.037E+00  7.4152E+00  7.7294E+00
  8.000  9.1132E+00  1.4478E-01 -3.0536E+01  1.018E+00  7.9932E+00  8.2091E+00
  8.500  8.9094E+00  1.2757E-01 -3.0787E+01  1.002E+00  8.5941E+00  8.6917E+00
  9.000  8.7080E+00  1.1283E-01 -3.1009E+01  9.876E-01  9.2160E+00  9.1768E+00
  9.500  8.5151E+00  9.9414E-02 -3.1205E+01  9.757E-01  9.8570E+00  9.6639E+00
 10.000  8.3301E+00  8.7640E-02 -3.1387E+01  9.665E-01  1.0516E+01  1.0153E+01
 11.000  7.9735E+00  7.0938E-02 -3.1732E+01  9.545E-01  1.1883E+01  1.1134E+01
 12.000  7.6304E+00  5.9440E-02 -3.2033E+01  9.461E-01  1.3309E+01  1.2119E+01
 13.000  7.3125E+00  4.8390E-02 -3.2292E+01  9.401E-01  1.4789E+01  1.3107E+01
 14.000  7.0128E+00  3.9792E-02 -3.2526E+01  9.372E-01  1.6319E+01  1.4097E+01
 15.000  6.7273E+00  3.3023E-02 -3.2708E+01  9.350E-01  1.7893E+01  1.5089E+01
 16.000  6.4616E+00  2.5470E-02 -3.2810E+01  9.333E-01  1.9510E+01  1.6082E+01
 17.000  6.2091E+00  1.9182E-02 -3.2808E+01  9.314E-01  2.1167E+01  1.7076E+01
 18.000  5.9686E+00  1.6092E-02 -3.2708E+01  9.291E-01  2.2860E+01  1.8071E+01
 19.000  5.7398E+00  1.4288E-02 -3.2576E+01  9.278E-01  2.4588E+01  1.9066E+01
 20.000  5.5207E+00  1.3663E-02 -3.2426E+01  9.272E-01  2.6348E+01  2.0062E+01
