 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Pt2
 Reduced formula:  Pt
 space group: (P6_3/mmc), space number:  (194)
 abc:  2.760666   2.760665   4.792134
 angles: 90.000000  90.000000 120.000009
 sites: 2
 mp-2647022
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.481 Rnm= 1.520 L3 shell
 Pot 1 Z=78 Rmt= 1.495 Rnm= 1.537
 Gam_ch=5.171E+00 H-L exch
 Mu=-1.529E-01 kf=1.999E+00 Vint=-1.538E+01 Rs_int= 1.814
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   26      icalc       2
 -----------------------------------------------------------------------
   4  12.000   5.7555    2.9035   -0.15286 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
  0.900  1.1480E+01  4.5897E-02 -1.8239E+01  1.064E+00  6.3681E+00  2.1910E+00
  1.000  1.1463E+01  5.1576E-02 -1.8994E+01  1.065E+00  6.4455E+00  2.2325E+00
  1.100  1.1445E+01  5.6761E-02 -1.9709E+01  1.067E+00  6.5197E+00  2.2777E+00
  1.200  1.1424E+01  6.1270E-02 -2.0382E+01  1.068E+00  6.5883E+00  2.3266E+00
  1.300  1.1401E+01  6.4918E-02 -2.1013E+01  1.070E+00  6.6494E+00  2.3789E+00
  1.400  1.1376E+01  6.7560E-02 -2.1601E+01  1.071E+00  6.7013E+00  2.4347E+00
  1.500  1.1349E+01  6.9051E-02 -2.2144E+01  1.073E+00  6.7432E+00  2.4939E+00
  1.600  1.1321E+01  6.9307E-02 -2.2640E+01  1.074E+00  6.7750E+00  2.5563E+00
  1.700  1.1290E+01  6.8305E-02 -2.3086E+01  1.076E+00  6.7973E+00  2.6221E+00
  1.800  1.1257E+01  6.6069E-02 -2.3479E+01  1.078E+00  6.8120E+00  2.6912E+00
  1.900  1.1223E+01  6.2806E-02 -2.3814E+01  1.079E+00  6.8219E+00  2.7636E+00
  2.000  1.1186E+01  5.8788E-02 -2.4088E+01  1.081E+00  6.8310E+00  2.8396E+00
  2.200  1.1107E+01  4.9523E-02 -2.4431E+01  1.084E+00  6.8695E+00  3.0023E+00
  2.400  1.0981E+01  3.7889E-02 -2.4486E+01  1.060E+00  6.9384E+00  3.1948E+00
  2.600  1.0903E+01  4.5765E-02 -2.4462E+01  1.192E+00  4.9172E+00  3.3608E+00
  2.800  1.0902E+01  4.0122E-02 -2.4464E+01  1.224E+00  4.4823E+00  3.4922E+00
  3.000  1.0889E+01  4.3341E-02 -2.4414E+01  1.244E+00  4.2747E+00  3.6316E+00
  3.200  1.0865E+01  5.1410E-02 -2.4566E+01  1.248E+00  4.1966E+00  3.7784E+00
  3.400  1.0834E+01  5.6946E-02 -2.4935E+01  1.246E+00  4.1926E+00  3.9309E+00
  3.600  1.0796E+01  6.0283E-02 -2.5406E+01  1.240E+00  4.2369E+00  4.0884E+00
  3.800  1.0750E+01  5.9620E-02 -2.5900E+01  1.229E+00  4.3157E+00  4.2505E+00
  4.000  1.0698E+01  5.7821E-02 -2.6376E+01  1.218E+00  4.4204E+00  4.4166E+00
  4.200  1.0639E+01  5.2267E-02 -2.6806E+01  1.204E+00  4.5455E+00  4.5863E+00
  4.400  1.0574E+01  4.5160E-02 -2.7209E+01  1.190E+00  4.6874E+00  4.7591E+00
  4.600  1.0503E+01  3.6827E-02 -2.7592E+01  1.176E+00  4.8433E+00  4.9347E+00
  4.800  1.0429E+01  2.8730E-02 -2.7975E+01  1.162E+00  5.0112E+00  5.1128E+00
  5.000  1.0352E+01  2.1456E-02 -2.8383E+01  1.148E+00  5.1897E+00  5.2930E+00
  5.200  1.0272E+01  1.5830E-02 -2.8812E+01  1.136E+00  5.3775E+00  5.4751E+00
  5.400  1.0192E+01  1.1378E-02 -2.9250E+01  1.123E+00  5.5736E+00  5.6589E+00
  5.600  1.0110E+01  7.6990E-03 -2.9634E+01  1.111E+00  5.7773E+00  5.8442E+00
  5.800  1.0029E+01  3.9315E-03 -2.9856E+01  1.099E+00  5.9879E+00  6.0308E+00
  6.000  9.9474E+00  1.4291E-03 -2.8264E+01  1.089E+00  6.2050E+00  6.2186E+00
  6.500  9.7434E+00  1.4244E-02 -2.7900E+01  1.062E+00  6.7726E+00  6.6924E+00
  7.000  9.5376E+00  2.4733E-02 -2.8186E+01  1.036E+00  7.3719E+00  7.1711E+00
  7.500  9.3296E+00  2.8715E-02 -2.8402E+01  1.013E+00  7.9989E+00  7.6535E+00
  8.000  9.1220E+00  2.7515E-02 -2.8552E+01  9.932E-01  8.6505E+00  8.1389E+00
  8.500  8.9179E+00  2.3587E-02 -2.8604E+01  9.785E-01  9.3244E+00  8.6265E+00
  9.000  8.7182E+00  1.9330E-02 -2.8539E+01  9.667E-01  1.0019E+01  9.1160E+00
  9.500  8.5229E+00  1.6486E-02 -2.8368E+01  9.568E-01  1.0732E+01  9.6069E+00
 10.000  8.3325E+00  1.5430E-02 -2.8156E+01  9.487E-01  1.1463E+01  1.0099E+01
 11.000  7.9692E+00  1.7594E-02 -2.7784E+01  9.380E-01  1.2974E+01  1.1086E+01
 12.000  7.6275E+00  2.4302E-02 -2.7645E+01  9.316E-01  1.4544E+01  1.2076E+01
 13.000  7.3058E+00  3.2042E-02 -2.7762E+01  9.274E-01  1.6167E+01  1.3068E+01
 14.000  7.0039E+00  3.6771E-02 -2.7995E+01  9.256E-01  1.7839E+01  1.4061E+01
 15.000  6.7191E+00  3.7414E-02 -2.8209E+01  9.244E-01  1.9556E+01  1.5056E+01
 16.000  6.4517E+00  3.9105E-02 -2.8376E+01  9.239E-01  2.1315E+01  1.6051E+01
 17.000  6.1986E+00  4.4379E-02 -2.8651E+01  9.225E-01  2.3112E+01  1.7047E+01
 18.000  5.9586E+00  4.8300E-02 -2.9109E+01  9.211E-01  2.4946E+01  1.8044E+01
 19.000  5.7288E+00  4.8264E-02 -2.9685E+01  9.204E-01  2.6813E+01  1.9041E+01
 20.000  5.5098E+00  4.4360E-02 -3.0358E+01  9.204E-01  2.8712E+01  2.0038E+01
